Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Courses Available,Geocoded Address,NPI,Last Report Date,Provider Status,Provider Note
IVDRIPS,980 E 12TH ST,,Brooklyn,Kings,NY,11230,00002-7589-01,Bebtelovimab,76,POINT (-73.96448 40.625335),,04/27/2022 12:00:00 AM,ACTIVE,
Rite Aid 00639,1924 GENESEE STREET,,Utica,Oneida,NY,13502-5627,00069-1085-30,Paxlovid,10,POINT (-75.26164 43.08746),1609986512.0,04/30/2022 12:00:00 AM,ACTIVE,
K and K Pharmacy,187 MILL ST,,Liberty,Sullivan,NY,12754,00006-5055-06,Lagevrio (molnupiravir),46,POINT (-74.734916 41.793907),1619205663.0,04/28/2022 12:00:00 AM,ACTIVE,
CVS Store #00600,415-419 DELAWARE AVENUE,CVS Pharmacy,Albany,Albany,NY,12209,00069-1085-30,Paxlovid,19,POINT (-73.78176 42.64117),1548364201.0,04/29/2022 12:00:00 AM,ACTIVE,
Walmart Pharmacy #2504,601 Frank Sottile Blvd,,Kingston,Ulster,NY,12401,00006-5055-06,Lagevrio (molnupiravir),48,POINT (-73.98616 41.97255),1982621041.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #00911,452 MAMARONECK AVENUE,CVS Pharmacy,White Plains,Westchester,NY,10605,00069-1085-30,Paxlovid,20,POINT (-73.76026 41.02278),1609974252.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 10600,5015 ROOSEVELT AVE,,Woodside,Queens,NY,11377,00069-1085-30,Paxlovid,8,POINT (-73.914195 40.744005),1811096167.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #16807,3857 STATE ROUTE 31,CVS Pharmacy,Liverpool,Onondaga,NY,13090,00069-1085-30,Paxlovid,20,POINT (-76.24713 43.1863),1861414419.0,04/29/2022 12:00:00 AM,ACTIVE,
WEGMANS FOOD MARKETS INC.,3177 LATTA RD,Wegmans,Rochester,Monroe,NY,14612,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-77.7 43.25017),,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #02836,1401 5TH AVE #09,CVS Pharmacy,North Bay Shore,Suffolk,NY,11706,00069-1085-30,Paxlovid,15,POINT (-73.26311 40.74244),1427152289.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #01292,1330 BALLTOWN ROAD,CVS Pharmacy,Niskayuna,Schenectady,NY,12309,00069-1085-30,Paxlovid,31,POINT (-73.892215 42.81091),1457455115.0,04/29/2022 12:00:00 AM,ACTIVE,
Walgreens Store #10475,2270 CLOVE RD,,Staten Island,Richmond,NY,10305,00069-1085-30,Paxlovid,11,POINT (-74.08175 40.59902),1154553899.0,04/29/2022 12:00:00 AM,ACTIVE,
