,Provider Name,Order Label,County,Geocoded Address
0,IVDRIPS,Bebtelovimab,Kings,POINT (-73.96448 40.625335)
17,NYC HEALTH + HOSPITALS/CONEY ISLAND,Bebtelovimab,Kings,POINT (-73.96573 40.58602)
35,CVS Store #02441,Lagevrio (molnupiravir),Kings,POINT (-73.99462 40.60264)
41,LevelUP MD Urgent Care Broadway,Evusheld,Kings,POINT (-73.96015 40.709)
42,Rite Aid 04954,Lagevrio (molnupiravir),Kings,POINT (-73.91392 40.63467)
63,CVS Store #02431,Lagevrio (molnupiravir),Kings,POINT (-73.92302 40.60876)
85,CVS Store #00802,Lagevrio (molnupiravir),Kings,POINT (-73.91765 40.62129)
118,CVS Store #16740,Paxlovid,Kings,POINT (-73.87017 40.65298)
132,Rite Aid 04246,Lagevrio (molnupiravir),Kings,POINT (-73.95862 40.64952)
139,CVS Store #02769,Paxlovid,Kings,POINT (-73.929 40.63413)
178,CVS Store #16740,Lagevrio (molnupiravir),Kings,POINT (-73.87017 40.65298)
183,CVS Store #10086,Paxlovid,Kings,POINT (-73.98058 40.68805)
193,86 BOBO Pharmacy,Paxlovid,Kings,POINT (-73.99446 40.602045)
195,Brownsville Multi-Service Fam HC,Lagevrio (molnupiravir),Kings,POINT (-73.909865 40.66536)
214,Kruticks Pharmacy,Paxlovid,Kings,POINT (-73.86937 40.67337)
219,CVS Store #04958,Paxlovid,Kings,POINT (-73.962565 40.720115)
236,WYCKOFF HEIGHTS MEDICAL CENTER,Lagevrio (molnupiravir),Kings,POINT (-73.91757 40.70438)
238,Walgreens Store #14312,Paxlovid,Kings,POINT (-73.97326 40.67797)
280,Stop and Shop Store # 2586,Lagevrio (molnupiravir),Kings,POINT (-73.97557 40.68367)
311,Rite Aid 04876,Paxlovid,Kings,POINT (-73.93962 40.5909)
312,Rite Aid 01947,Paxlovid,Kings,POINT (-73.91578 40.68561)
317,Rite Aid 10577,Lagevrio (molnupiravir),Kings,POINT (-74.0007 40.60901)
321,Rite Aid 02612,Lagevrio (molnupiravir),Kings,POINT (-73.97064 40.59037)
346,CVS Store #02436,Paxlovid,Kings,POINT (-73.88288 40.64712)
349,CVS Store #05847,Lagevrio (molnupiravir),Kings,POINT (-73.98391 40.61102)
