,Provider Name,Order Label,County,Geocoded Address
22,ESCO DRUG CO INC,Evusheld,New York,POINT (-73.990395 40.761915)
30,CVS Store #10933,Paxlovid,New York,POINT (-74.0039 40.72553)
40,CVS Store #11075,Paxlovid,New York,POINT (-73.96712 40.80405)
60,Rite Aid 02727,Lagevrio (molnupiravir),New York,POINT (-73.93142 40.85209)
67,CVS Store #02400,Lagevrio (molnupiravir),New York,POINT (-73.96232 40.76357)
68,CVS Store #02457,Paxlovid,New York,POINT (-73.98551 40.74744)
72,CVS Store #10970,Paxlovid,New York,POINT (-73.95149 40.77787)
77,CVS Store #03295,Paxlovid,New York,POINT (-73.95621 40.77845)
80,LENOX HILL HOSPITAL,Bebtelovimab,New York,POINT (-73.96064 40.77408)
103,Rite Aid 07808,Lagevrio (molnupiravir),New York,POINT (-73.93752 40.8481)
126,Rite Aid 04195,Lagevrio (molnupiravir),New York,POINT (-73.99772 40.74605)
133,CVS Store #10613,Lagevrio (molnupiravir),New York,POINT (-73.99389 40.75191)
140,CVS Store #02435,Lagevrio (molnupiravir),New York,POINT (-74.00302 40.73367)
145,CVS Store #10112,Paxlovid,New York,POINT (-73.95275 40.81036)
153,MOUNT SINAI HOSPITAL,Evusheld,New York,POINT (-73.95339 40.79038)
167,LENOX HILL- MEETH,Paxlovid,New York,POINT (-73.96331 40.76415)
201,MOUNT SINAI HOSPITAL,Lagevrio (molnupiravir),New York,POINT (-73.95339 40.79038)
217,CVS Store #01618,Lagevrio (molnupiravir),New York,POINT (-74.00257 40.74)
218,CVS Store #11014,Paxlovid,New York,POINT (-73.96789 40.75592)
243,CVS Store #10827,Lagevrio (molnupiravir),New York,POINT (-73.95057 40.82609)
278,CVS Store #02058,Lagevrio (molnupiravir),New York,POINT (-73.99988 40.72843)
318,MOUNT SINAI HOSPITAL,Paxlovid,New York,POINT (-73.95339 40.79038)
358,ALTO PHARMACY,Lagevrio (molnupiravir),New York,POINT (-73.978765 40.751295)
392,905 FIFTH ASSOCIATES,Bebtelovimab,New York,POINT (-73.960115 40.774755)
421,CHARLES B WANG Comm Hlth Ctr,Paxlovid,New York,POINT (-74.00128 40.71876)
430,CVS Store #10828,Paxlovid,New York,POINT (-73.990298 40.72999)
449,Rite Aid 04202,Lagevrio (molnupiravir),New York,POINT (-74.00018 40.71187)
473,MOUNT SINAI HOSPITAL,Bebtelovimab,New York,POINT (-73.95339 40.79038)
478,CVS Store #17750,Paxlovid,New York,POINT (-73.97829 40.74129)
482,Rite Aid 10534,Lagevrio (molnupiravir),New York,POINT (-74.01533 40.71156)
495,CVS Store #02962,Lagevrio (molnupiravir),New York,POINT (-73.98687 40.73979)
529,CVS Store #02717,Paxlovid,New York,POINT (-73.95466 40.78094)
553,CVS Store #02445,Lagevrio (molnupiravir),New York,POINT (-73.97482 40.78813)
584,ESCO DRUG CO INC,Paxlovid,New York,POINT (-73.990395 40.761915)
606,CVS Store #05772,Lagevrio (molnupiravir),New York,POINT (-73.95076 40.78628)
625,CVS Store #17728,Paxlovid,New York,POINT (-73.9868 40.71612)
632,LENOX HEALTH GREENWICH VILLAGE,Bebtelovimab,New York,POINT (-74.0006 40.73762)
633,CVS Store #10828,Lagevrio (molnupiravir),New York,POINT (-73.990298 40.72999)
651,Rite Aid 04185,Lagevrio (molnupiravir),New York,POINT (-73.95078 40.82617)
667,LENOX HILL HOSPITAL,Evusheld,New York,POINT (-73.96064 40.77408)
668,LENOX HILL HOSPITAL,Paxlovid,New York,POINT (-73.96064 40.77408)
679,CVS Store #17688,Lagevrio (molnupiravir),New York,POINT (-74.01107 40.71445)
681,CVS Store #10826,Lagevrio (molnupiravir),New York,POINT (-73.98667 40.75457)
691,Rite Aid 03771,Paxlovid,New York,POINT (-73.976655 40.722829)
716,NYP-WEILL CORNELL MEDICAL CTR,Bebtelovimab,New York,POINT (-73.95346 40.76542)
717,CVS Store #10612,Lagevrio (molnupiravir),New York,POINT (-73.99361 40.73571)
721,CVS Store #02773,Lagevrio (molnupiravir),New York,POINT (-73.92569 40.86243)
735,Rite Aid 04964,Lagevrio (molnupiravir),New York,POINT (-73.97966 40.75306)
754,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,Bebtelovimab,New York,POINT (-73.94225 40.83992)
765,CVS Store #10970,Lagevrio (molnupiravir),New York,POINT (-73.95149 40.77787)
768,SMARTRX PHARMACY INC,Bebtelovimab,New York,POINT (-73.946125 40.79279)
809,NYU LANGONE -TISCH HOSPITAL,Evusheld,New York,POINT (-73.9745 40.74225)
822,NYP-WEILL CORNELL MEDICAL CTR,Evusheld,New York,POINT (-73.95346 40.76542)
823,CVS Store #10407,Paxlovid,New York,POINT (-73.99468 40.72519)
830,CVS Store #07019,Lagevrio (molnupiravir),New York,POINT (-73.93831 40.6522)
831,CVS Store #10530,Lagevrio (molnupiravir),New York,POINT (-73.998275 40.73592)
845,Healthsource Pharmacy,Paxlovid,New York,POINT (-73.96376 40.75684)
861,CVS Store #03224,Lagevrio (molnupiravir),New York,POINT (-73.94871 40.80214)
865,Rite Aid 01225,Paxlovid,New York,POINT (-74.00595 40.73427)
870,CVS Store #17817,Paxlovid,New York,POINT (-73.96605 40.79469)
896,CVS Store #02737,Lagevrio (molnupiravir),New York,POINT (-73.94605 40.80819)
899,CVS Store #10826,Paxlovid,New York,POINT (-73.98667 40.75457)
953,CVS Store #10235,Lagevrio (molnupiravir),New York,POINT (-73.98993 40.76692)
963,Rite Aid 04688,Lagevrio (molnupiravir),New York,POINT (-73.94825 40.78426)
968,CVS Store #11059,Lagevrio (molnupiravir),New York,POINT (-73.91434 40.685112)
985,Rite Aid 04688,Paxlovid,New York,POINT (-73.94825 40.78426)
998,Rite Aid 04205,Lagevrio (molnupiravir),New York,POINT (-73.98687 40.72564)
1000,Rite Aid 04202,Paxlovid,New York,POINT (-74.00018 40.71187)
1013,CVS Store #02940,Paxlovid,New York,POINT (-73.995885 40.75956)
1026,NYC HEALTH + HOSPITALS/HARLEM,Paxlovid,New York,POINT (-73.94 40.81)
1031,Rite Aid 01225,Lagevrio (molnupiravir),New York,POINT (-74.00595 40.73427)
1043,CVS Store #02716,Paxlovid,New York,POINT (-74.007445 40.71027)
1047,CVS Store #10583,Lagevrio (molnupiravir),New York,POINT (-73.99423 40.740455)
1059,CVS Store #05772,Paxlovid,New York,POINT (-73.95076 40.78628)
1063,CVS Store #02036,Lagevrio (molnupiravir),New York,POINT (-73.95174 40.78221)
1070,CVS Store #10654,Lagevrio (molnupiravir),New York,POINT (-73.971635 40.754)
1086,CVS Store #03224,Paxlovid,New York,POINT (-73.94871 40.80214)
1094,CVS Store #11075,Lagevrio (molnupiravir),New York,POINT (-73.96712 40.80405)
1103,CVS Store #10827,Paxlovid,New York,POINT (-73.95057 40.82609)
1116,CVS Store #02557,Paxlovid,New York,POINT (-73.98236 40.73196)
1120,HOSPITAL FOR SPECIAL SURGERY,Evusheld,New York,POINT (-73.9529 40.7649)
1132,CVS Store #03295,Lagevrio (molnupiravir),New York,POINT (-73.95621 40.77845)
1138,Rite Aid 07760,Paxlovid,New York,POINT (-73.954405 40.805135)
1146,CVS Store #11014,Lagevrio (molnupiravir),New York,POINT (-73.96789 40.75592)
1147,CVS Store #02036,Paxlovid,New York,POINT (-73.95174 40.78221)
1171,CVS Store #02939,Lagevrio (molnupiravir),New York,POINT (-73.982783 40.715425)
1194,CVS Store #02360,Lagevrio (molnupiravir),New York,POINT (-73.96999 40.79439)
1197,Rite Aid 04964,Paxlovid,New York,POINT (-73.97966 40.75306)
1216,Rite Aid 07760,Lagevrio (molnupiravir),New York,POINT (-73.954405 40.805135)
