,Provider Name,Order Label,County,Geocoded Address
26,CVS Store #02437,Lagevrio (molnupiravir),Bronx,POINT (-73.86608 40.8653)
114,Walgreens Store #12758,Paxlovid,Bronx,POINT (-73.85153 40.85085)
143,CVS Store #03096,Lagevrio (molnupiravir),Bronx,POINT (-73.82072 40.82559)
144,CVS Store #17526,Paxlovid,Bronx,POINT (-73.93072 40.82384)
172,CVS Store #02438,Paxlovid,Bronx,POINT (-73.922245 40.816965)
210,Stop and Shop Store # 2592,Lagevrio (molnupiravir),Bronx,POINT (-73.82667 40.8683)
340,ST. BARNABAS HEALTH SYSTEM,Bebtelovimab,Bronx,POINT (-73.89143 40.85328)
388,ST. BARNABAS HEALTH SYSTEM,Paxlovid,Bronx,POINT (-73.89143 40.85328)
416,Rite Aid 03663,Paxlovid,Bronx,POINT (-73.88938 40.85301)
425,Walgreens Store #17511,Lagevrio (molnupiravir),Bronx,POINT (-73.86853 40.82319)
434,Rite Aid 07906,Lagevrio (molnupiravir),Bronx,POINT (-73.90122 40.819565)
435,CVS Store #17526,Lagevrio (molnupiravir),Bronx,POINT (-73.93072 40.82384)
446,MONTEFIORE MEDICAL CENTER WAKEFIELD,Paxlovid,Bronx,POINT (-73.86097 40.89398)
453,CVS Store #08940,Lagevrio (molnupiravir),Bronx,POINT (-73.87127 40.83028)
479,CVS Store #08969,Paxlovid,Bronx,POINT (-73.92052 40.83532)
486,MT CARMEL PHARMACY,Paxlovid,Bronx,POINT (-73.884185 40.854265)
588,Rite Aid 03980,Paxlovid,Bronx,POINT (-73.843135 40.889065)
592,Rite Aid 04824,Lagevrio (molnupiravir),Bronx,POINT (-73.91838 40.80731)
595,Rite Aid 03817,Paxlovid,Bronx,POINT (-73.90605 40.85362)
612,Rite Aid 03844,Paxlovid,Bronx,POINT (-73.89161 40.82207)
657,MONTEFIORE MEDICAL CENTER MOSES CAM,Evusheld,Bronx,POINT (-73.87995 40.88083)
676,CVS Store #07067,Paxlovid,Bronx,POINT (-73.85315 40.85288)
702,Rite Aid 03663,Lagevrio (molnupiravir),Bronx,POINT (-73.88938 40.85301)
780,Rite Aid 04258,Paxlovid,Bronx,POINT (-73.87943 40.82841)
785,Walgreens Store #18990,Paxlovid,Bronx,POINT (-73.82513 40.82924)
812,MONTEFIORE MEDICAL CENTER MOSES CAM,Bebtelovimab,Bronx,POINT (-73.87995 40.88083)
910,CVS Store #02433,Lagevrio (molnupiravir),Bronx,POINT (-73.867445 40.85385)
975,CVS Store #07066,Paxlovid,Bronx,POINT (-73.91044 40.88584)
993,Rite Aid 03359,Paxlovid,Bronx,POINT (-73.859175 40.84704)
996,BRONXCARE HOSPITAL CENTER,Bebtelovimab,Bronx,POINT (-73.91124 40.84432)
997,NYC H+H / JACOBI INPATIENT,Bebtelovimab,Bronx,POINT (-73.84023 40.84569)
1024,BRONXCARE HOSPITAL CENTER,Evusheld,Bronx,POINT (-73.91124 40.84432)
1038,MONTEFIORE MEDICAL CENTER WAKEFIELD,Bebtelovimab,Bronx,POINT (-73.86097 40.89398)
1064,CVS Store #02433,Paxlovid,Bronx,POINT (-73.867445 40.85385)
1104,RITE CARE PHARMACY,Paxlovid,Bronx,POINT (-73.866615 40.821565)
1141,Rite Aid 04267,Lagevrio (molnupiravir),Bronx,POINT (-73.928175 40.83548)
1155,CVS Store #03096,Paxlovid,Bronx,POINT (-73.82072 40.82559)
1158,Rite Aid 04294,Paxlovid,Bronx,POINT (-73.85784 40.89279)
1160,MONTEFIORE MEDICAL CENTER MOSES CAM,Paxlovid,Bronx,POINT (-73.87995 40.88083)
1161,Felicity Pharmacy,Paxlovid,Bronx,POINT (-73.89253 40.84624)
1185,CVS Store #02437,Paxlovid,Bronx,POINT (-73.86608 40.8653)
1230,Rite Aid 02669,Paxlovid,Bronx,POINT (-73.82832 40.87006)
1238,MONTEFIORE/WEILER DIVISION/EINSTEIN,Bebtelovimab,Bronx,POINT (-73.84543 40.85)
